@relation gentil-rude
@attribute massa NUMERIC
@attribute altura NUMERIC
@attribute dentes {normais,afiados}
@attribute corolhos {escura, clara, vermelha}
@attribute gentil {S,N}
@data
135.46,1.66,afiados,clara,N
79.15,2.26,afiados,escura,S
134.19,1.77,normais,vermelha,N
120.48,1.82,normais,vermelha,N
59.18,2.07,normais,escura,S
64.12,2.02,afiados,escura,S
51.37,1.94,normais,escura,S
147.14,2.20,normais,escura,S
179.30,2.11,afiados,escura,N
57.68,1.52,normais,clara,S
121.58,1.97,normais,escura,S
72.26,2.37,normais,clara,S
144.45,1.53,normais,clara,S
126.43,1.55,afiados,vermelha,N
120.32,2.10,normais,vermelha,N
89.93,1.72,normais,vermelha,N
117.01,2.40,afiados,escura,N
120.22,2.29,afiados,escura,N
166.99,2.36,normais,clara,S
149.87,1.91,afiados,vermelha,N
139.34,1.78,afiados,vermelha,N
168.33,1.75,afiados,clara,N
92.50,1.64,afiados,escura,N
124.35,1.74,afiados,escura,N
78.45,1.57,afiados,vermelha,N
68.67,2.38,afiados,clara,S
148.78,1.66,normais,escura,S
72.95,2.16,normais,escura,S
127.82,1.93,afiados,clara,N
66.26,2.37,afiados,vermelha,S
53.82,1.79,afiados,vermelha,N
142.23,2.34,afiados,clara,N
101.48,1.67,afiados,clara,N
139.60,1.86,afiados,vermelha,N
172.21,1.84,normais,clara,S
60.26,2.35,normais,vermelha,N
165.14,2.17,normais,escura,S
89.75,2.17,normais,escura,S
97.26,1.94,afiados,clara,S
91.56,2.33,afiados,vermelha,S
57.35,2.04,normais,escura,S
98.28,1.76,normais,escura,S
112.09,2.14,afiados,escura,N
60.72,1.71,normais,escura,S
134.05,1.52,afiados,vermelha,N
104.08,1.73,afiados,escura,N
149.85,1.57,normais,clara,S
179.66,2.23,normais,vermelha,N
67.49,2.33,normais,escura,N
73.36,2.37,afiados,vermelha,S
144.37,2.32,normais,escura,S
57.60,1.69,afiados,vermelha,N
154.44,2.06,afiados,clara,N
135.29,1.94,normais,escura,S
81.99,2.33,normais,escura,S
169.79,2.05,afiados,vermelha,N
172.69,2.05,afiados,clara,N
173.68,1.64,normais,clara,S
72.00,2.17,normais,clara,S
88.35,2.20,normais,escura,S
160.33,1.94,normais,clara,S
86.62,2.06,afiados,clara,S
72.47,1.95,afiados,vermelha,S
127.47,1.81,normais,escura,S
122.49,2.22,afiados,clara,N
118.14,1.91,normais,vermelha,N
171.94,1.81,normais,clara,S
163.21,1.62,normais,vermelha,N
80.09,1.64,normais,vermelha,N
123.59,1.86,normais,clara,S
56.56,1.51,normais,escura,S
104.83,1.99,normais,clara,S
75.80,2.06,normais,escura,S
127.08,1.90,normais,vermelha,N
84.13,1.55,normais,escura,S
97.73,2.01,normais,escura,S
113.02,1.62,normais,vermelha,N
97.18,2.10,afiados,vermelha,S
122.39,1.75,normais,vermelha,N
174.89,1.97,normais,vermelha,N
94.66,1.88,afiados,vermelha,S
86.93,2.32,afiados,clara,S
59.63,1.75,afiados,escura,N
52.91,2.37,afiados,clara,S
99.50,1.83,afiados,clara,S
114.77,1.74,normais,escura,S
74.21,1.96,normais,escura,S
174.33,1.92,normais,escura,S
139.31,1.71,afiados,clara,N
175.87,1.98,normais,escura,S
119.84,2.11,afiados,escura,N
99.73,2.16,afiados,escura,S
109.21,1.63,afiados,escura,N
64.01,2.17,normais,clara,S
130.43,2.10,normais,clara,S
72.66,1.55,normais,vermelha,N
60.77,1.50,normais,clara,S
154.90,2.20,normais,escura,S
178.10,2.34,normais,escura,S
169.58,1.58,afiados,escura,N
82.04,1.79,normais,vermelha,N
154.75,1.93,normais,clara,S
117.62,1.56,normais,clara,S
166.02,1.63,normais,vermelha,N
54.24,1.69,normais,vermelha,N
120.95,1.67,afiados,escura,N
89.40,2.08,afiados,vermelha,S
54.17,2.27,normais,clara,S
137.46,1.58,afiados,vermelha,N
86.05,2.05,afiados,escura,N
52.09,1.97,normais,escura,S
102.92,1.51,afiados,clara,N
82.80,1.82,normais,vermelha,S
148.97,1.84,normais,clara,S
63.43,2.10,afiados,clara,S
126.04,2.19,afiados,escura,N
122.38,1.78,normais,clara,S
102.39,2.39,normais,vermelha,N
116.14,2.19,afiados,clara,N
81.60,2.08,normais,vermelha,S
104.89,2.33,normais,escura,S
163.49,2.36,afiados,vermelha,N
62.02,1.70,afiados,escura,N
89.72,1.81,normais,clara,S
98.52,2.21,normais,clara,S
56.16,1.96,normais,vermelha,S
89.63,1.53,normais,escura,S
154.46,1.74,afiados,escura,N
72.38,1.96,afiados,vermelha,S
118.83,2.24,afiados,vermelha,S
137.47,2.25,normais,vermelha,N
67.78,2.31,normais,vermelha,S
135.56,1.78,afiados,escura,N
152.16,2.05,normais,escura,S
110.94,2.15,normais,clara,S
168.91,1.53,afiados,vermelha,N
63.51,1.51,normais,clara,S
143.10,1.57,afiados,escura,N
135.23,2.16,afiados,clara,N
138.46,1.72,afiados,vermelha,N
140.97,1.58,afiados,vermelha,N
115.80,1.66,afiados,escura,N
128.57,1.74,normais,escura,S
57.77,1.98,normais,vermelha,S
110.44,2.22,afiados,vermelha,N
50.36,1.88,normais,escura,S
149.57,2.10,afiados,clara,N
64.18,1.81,afiados,escura,S
161.90,1.70,normais,vermelha,N
150.12,1.50,normais,clara,S
76.73,1.87,normais,clara,S
85.66,1.84,afiados,clara,S
101.35,1.77,afiados,vermelha,N
107.89,2.37,normais,vermelha,N
134.03,2.24,normais,clara,S
68.80,2.19,afiados,clara,S
133.72,1.58,normais,clara,S
143.96,2.34,normais,vermelha,N
69.07,1.97,normais,escura,S
137.46,1.51,afiados,escura,N
71.88,2.22,afiados,clara,S
166.70,1.55,normais,clara,S
169.68,1.65,normais,escura,S
84.81,1.59,afiados,vermelha,N
76.32,1.80,afiados,vermelha,N
150.36,2.20,normais,vermelha,N
53.57,1.76,normais,escura,S
103.95,2.01,normais,vermelha,N
83.77,1.83,afiados,clara,S
80.12,1.76,normais,clara,S
87.27,1.51,normais,clara,S
64.75,1.92,afiados,vermelha,S
168.07,2.17,normais,escura,S
150.84,1.76,normais,escura,S
139.10,1.64,afiados,vermelha,N
156.23,2.08,afiados,escura,N
55.95,2.33,afiados,escura,S
60.02,1.85,normais,escura,S
93.83,1.95,afiados,vermelha,S
98.22,2.02,afiados,vermelha,S
131.96,1.92,normais,escura,S
98.66,1.67,normais,clara,S
153.83,2.28,normais,vermelha,N
146.57,2.08,normais,escura,S
90.52,1.52,normais,vermelha,N
157.05,2.15,afiados,clara,N
142.17,1.92,normais,escura,S
126.47,2.01,normais,clara,S
123.68,2.04,afiados,escura,S
78.96,2.04,afiados,escura,S
162.00,2.20,afiados,clara,N
150.92,2.06,afiados,clara,N
139.95,2.34,afiados,clara,N
133.54,1.63,afiados,escura,N
69.51,2.24,afiados,vermelha,S
98.24,2.01,normais,escura,S
77.50,1.81,normais,vermelha,S
172.95,1.73,afiados,escura,N
167.16,2.27,normais,escura,S
172.45,1.94,afiados,clara,N
159.89,1.65,afiados,clara,N
115.26,2.10,afiados,escura,N
98.49,2.34,normais,escura,S
143.62,2.39,normais,clara,S
89.18,2.39,afiados,escura,S
77.28,1.93,normais,clara,S
101.84,1.89,afiados,escura,N
170.96,1.81,normais,vermelha,N
149.94,2.28,normais,escura,S
96.39,1.77,afiados,vermelha,N
70.21,1.94,afiados,clara,S
121.17,1.68,normais,vermelha,N
67.74,2.15,afiados,clara,S
73.49,2.14,afiados,clara,S
153.35,2.20,normais,escura,N
54.76,2.21,normais,vermelha,S
122.08,1.72,normais,vermelha,N
118.30,2.38,afiados,escura,N
78.99,1.81,afiados,clara,S
178.25,2.22,normais,escura,S
105.87,1.62,normais,vermelha,N
174.60,2.10,normais,clara,S
64.38,1.53,normais,vermelha,N
172.74,1.63,normais,clara,S
139.92,1.60,afiados,escura,N
136.02,2.38,normais,vermelha,N
147.68,2.31,afiados,vermelha,N
120.35,1.95,afiados,clara,N
145.39,2.35,afiados,clara,N
138.77,1.74,afiados,escura,N
123.83,2.36,afiados,vermelha,N
50.63,2.39,afiados,escura,S
162.34,1.71,afiados,escura,N
103.13,2.03,normais,vermelha,N
135.88,1.87,normais,vermelha,N
167.12,1.96,afiados,clara,N
72.91,1.98,normais,clara,S
173.16,2.36,normais,vermelha,N
153.39,2.00,afiados,clara,N
167.45,2.35,afiados,clara,N
133.06,2.00,normais,clara,S
107.65,2.40,afiados,vermelha,N
177.57,1.78,normais,clara,S
89.62,1.67,normais,clara,S
60.74,2.27,afiados,vermelha,S
145.59,1.75,normais,escura,S
177.45,2.04,normais,clara,S
152.03,1.58,normais,escura,S
169.05,2.11,afiados,escura,N
99.00,2.38,normais,clara,S
132.93,2.04,afiados,clara,N
70.84,1.71,normais,vermelha,N
105.11,2.13,normais,vermelha,N
101.86,2.16,normais,vermelha,N
162.81,1.58,normais,clara,S
176.80,2.15,normais,vermelha,N
50.18,2.11,normais,clara,S
87.89,1.79,afiados,clara,N
103.85,2.30,normais,vermelha,N
158.72,2.15,normais,escura,S
145.81,2.31,normais,escura,S
107.98,2.30,afiados,clara,N
139.16,1.70,normais,clara,S
88.85,1.74,normais,clara,S
95.27,2.30,normais,clara,S
146.01,2.00,normais,clara,S
59.66,1.96,afiados,vermelha,S
98.56,2.37,afiados,vermelha,S
65.10,2.12,normais,clara,S
81.90,1.57,normais,vermelha,N
91.31,2.07,normais,escura,S
94.62,1.79,normais,vermelha,N
82.79,1.54,normais,escura,S
88.81,2.04,normais,vermelha,S
137.16,1.70,afiados,escura,N
80.91,2.01,afiados,vermelha,S
91.73,2.12,normais,vermelha,S
139.33,1.55,normais,escura,S
103.74,2.27,afiados,clara,N
117.66,2.32,normais,clara,S
143.69,2.20,normais,clara,S
71.18,1.65,afiados,vermelha,N
155.44,2.24,afiados,escura,N
168.91,2.31,afiados,vermelha,N
151.32,1.54,normais,clara,S
159.01,1.88,afiados,vermelha,N
63.01,1.85,afiados,escura,S
148.59,1.55,normais,clara,S
75.67,2.35,normais,escura,S
80.72,1.70,afiados,escura,N
154.71,2.19,normais,vermelha,N
88.46,1.81,normais,clara,S
135.90,1.96,afiados,vermelha,N
50.08,1.77,afiados,vermelha,N
92.27,1.55,normais,clara,S
151.85,1.82,normais,vermelha,N
161.25,2.38,normais,vermelha,N
70.29,2.22,afiados,clara,N
115.26,1.63,afiados,clara,N
55.37,1.60,normais,escura,S
160.30,2.02,afiados,vermelha,N
158.16,1.90,normais,clara,S
64.54,2.11,afiados,vermelha,S
152.17,1.96,normais,vermelha,N
96.40,2.05,afiados,escura,S
96.63,1.89,afiados,escura,S
51.96,1.68,normais,vermelha,N
132.96,2.23,afiados,clara,N
127.66,2.12,afiados,clara,N
176.89,2.17,afiados,clara,N
111.83,1.79,normais,clara,S
68.06,1.57,normais,vermelha,N
179.45,1.88,afiados,escura,N
142.83,2.17,normais,clara,S
136.90,2.40,normais,clara,S
85.92,2.38,normais,clara,N
102.01,1.87,normais,clara,S
98.14,2.08,normais,vermelha,S
92.40,1.99,afiados,vermelha,S
102.09,1.77,afiados,clara,N
73.10,1.66,afiados,vermelha,N
171.70,2.39,normais,clara,S
114.11,2.14,normais,clara,S
136.94,1.79,normais,clara,N
171.92,1.66,afiados,escura,N
86.45,2.33,afiados,clara,S
62.22,1.98,normais,escura,S
169.17,1.77,afiados,clara,N
140.36,2.35,normais,vermelha,N
135.96,1.96,afiados,clara,N
57.79,2.13,normais,escura,S
132.80,1.80,normais,vermelha,N
99.55,2.05,afiados,vermelha,S
117.44,1.86,normais,vermelha,N
143.10,1.69,afiados,clara,N
87.58,1.89,afiados,escura,S
128.96,1.86,normais,clara,S
129.93,2.38,normais,clara,S
145.28,1.77,normais,vermelha,N
77.04,2.28,afiados,vermelha,S
80.26,1.70,normais,clara,S
145.75,2.00,afiados,escura,N
78.41,1.65,normais,clara,S
86.73,2.01,afiados,escura,S
133.90,2.05,normais,vermelha,N
82.71,1.77,normais,escura,S
136.32,2.05,afiados,escura,N
94.53,2.02,normais,vermelha,S
119.05,1.80,afiados,vermelha,N
156.94,1.66,afiados,escura,N
89.70,1.85,afiados,escura,S
167.39,1.93,normais,clara,S
102.65,2.02,normais,clara,S
60.39,2.07,afiados,clara,S
134.31,1.67,normais,escura,N
71.48,1.83,normais,clara,S
133.12,1.68,afiados,escura,N
152.30,2.23,afiados,clara,N
178.76,1.61,normais,vermelha,N
116.00,1.84,afiados,escura,N
110.78,1.70,normais,vermelha,N
152.27,1.57,afiados,escura,N
125.74,2.35,normais,clara,S
75.47,2.16,afiados,clara,S
130.83,1.87,afiados,vermelha,N
108.77,1.72,normais,clara,S
55.39,2.07,normais,escura,S
139.14,1.97,afiados,vermelha,N
138.58,1.97,afiados,vermelha,N
100.93,2.27,afiados,escura,N
75.97,1.83,afiados,vermelha,S
86.88,1.82,normais,escura,S
115.73,2.25,afiados,clara,N
178.66,2.23,normais,vermelha,N
133.50,1.90,afiados,vermelha,N
122.59,1.55,normais,clara,S
111.11,1.62,normais,vermelha,N
125.50,2.03,afiados,clara,N
111.25,1.74,afiados,vermelha,N
111.56,1.66,normais,clara,S
161.53,2.26,normais,escura,S
165.91,2.06,afiados,vermelha,N
174.36,2.09,normais,clara,S
70.14,1.59,afiados,escura,N
106.63,1.66,afiados,clara,N
145.86,2.33,normais,clara,N
105.57,1.84,normais,escura,S
70.41,1.97,normais,escura,S
115.44,1.77,afiados,vermelha,N
122.43,2.32,afiados,escura,N
135.10,1.82,afiados,vermelha,N
53.78,1.77,normais,clara,S
158.93,2.04,afiados,clara,N
144.72,2.18,normais,escura,S
169.39,2.04,normais,clara,S
138.53,2.05,afiados,escura,N
116.21,1.50,afiados,escura,N
147.90,1.95,afiados,vermelha,N
172.62,1.58,normais,escura,S
54.74,2.08,afiados,vermelha,S
117.34,2.33,afiados,escura,N
134.12,2.36,afiados,vermelha,N
65.35,1.59,afiados,escura,N
104.00,1.78,afiados,escura,N
94.13,1.58,afiados,clara,N
117.98,1.89,normais,clara,S
57.00,2.23,afiados,clara,S
160.81,1.90,afiados,vermelha,N
159.26,2.02,afiados,vermelha,N
99.59,2.22,afiados,vermelha,S
56.19,2.03,normais,escura,N
142.79,2.02,normais,vermelha,N
127.53,1.60,afiados,escura,N
164.48,2.30,normais,clara,S
101.68,2.03,normais,vermelha,N
146.92,1.67,afiados,escura,N
82.28,1.58,afiados,escura,N
149.83,1.83,normais,clara,S
109.78,2.28,normais,vermelha,N
157.96,1.73,normais,vermelha,N
137.73,1.97,normais,escura,N
79.76,1.98,afiados,vermelha,S
140.46,2.27,afiados,vermelha,N
62.52,2.24,normais,clara,S
65.09,1.66,afiados,clara,N
156.83,2.31,afiados,vermelha,N
114.08,1.66,normais,clara,S
160.51,1.91,normais,escura,S
133.16,2.06,normais,clara,S
163.60,1.95,normais,escura,S
102.03,1.92,normais,escura,S
77.30,2.38,normais,vermelha,S
81.98,2.39,afiados,vermelha,S
88.25,1.59,normais,clara,S
69.57,1.98,normais,clara,S
160.94,1.59,afiados,escura,N
176.45,2.22,afiados,clara,N
87.05,1.91,afiados,escura,S
167.61,1.61,normais,clara,S
79.07,2.39,normais,vermelha,S
76.00,1.77,normais,clara,S
98.81,1.54,normais,clara,S
146.57,2.20,normais,clara,S
56.66,1.79,afiados,vermelha,N
112.31,2.05,normais,escura,S
64.29,1.72,afiados,clara,N
63.95,1.81,afiados,escura,S
171.34,1.93,afiados,escura,N
160.68,1.64,afiados,clara,N
84.94,2.37,normais,clara,S
125.93,2.08,normais,escura,S
177.62,1.59,afiados,escura,S
75.67,2.16,afiados,vermelha,S
167.50,1.86,afiados,escura,N
117.95,1.74,normais,clara,S
155.80,1.52,normais,clara,S
177.23,1.56,normais,clara,S
150.24,2.13,afiados,vermelha,N
171.70,2.12,afiados,escura,N
58.17,2.23,normais,escura,S
155.00,1.97,afiados,escura,N
56.94,1.79,normais,vermelha,N
145.05,1.88,afiados,vermelha,N
99.08,2.29,normais,escura,S
145.00,1.95,normais,escura,S
153.71,1.55,normais,escura,S
172.39,2.23,normais,escura,S
153.37,2.18,normais,clara,S
65.52,1.95,normais,vermelha,S
66.87,1.74,afiados,vermelha,N
144.16,2.38,afiados,escura,N
144.79,2.26,afiados,escura,N
170.78,1.68,afiados,clara,N
162.91,2.22,afiados,vermelha,S
103.51,2.14,normais,escura,S
148.37,2.28,afiados,clara,N
129.18,2.10,normais,vermelha,N
121.11,2.17,afiados,escura,N
98.79,1.60,afiados,clara,N
151.46,2.01,normais,escura,S
103.43,1.80,afiados,vermelha,N
158.68,2.01,afiados,clara,N
116.35,1.58,normais,clara,S
173.15,1.67,normais,clara,S
100.34,1.75,normais,escura,S
57.81,2.11,normais,escura,S
123.38,1.76,normais,escura,S
129.90,2.02,normais,vermelha,N
108.12,2.07,normais,clara,S
169.86,2.01,afiados,escura,N
87.08,1.86,normais,escura,S
175.96,2.06,afiados,clara,N
110.23,2.10,normais,clara,S
115.71,1.75,normais,vermelha,N
139.73,2.06,normais,vermelha,N
165.19,1.53,normais,escura,S
89.92,1.51,normais,escura,S
79.79,2.10,afiados,vermelha,S
113.99,1.57,afiados,clara,N
62.92,2.01,afiados,clara,S
131.96,2.11,afiados,escura,N
140.41,2.15,normais,vermelha,N
108.52,1.51,normais,escura,S
174.55,2.22,afiados,clara,N
84.21,2.29,afiados,escura,S
66.49,1.77,afiados,escura,N
128.83,1.60,normais,vermelha,N
127.89,2.17,normais,clara,S
126.96,2.13,normais,escura,S
117.11,2.21,afiados,clara,N
111.25,2.33,normais,vermelha,N
104.46,1.96,normais,clara,S
91.69,1.86,afiados,clara,S
116.32,1.51,afiados,escura,S
140.15,1.76,normais,escura,S
61.29,1.78,normais,clara,S
112.03,1.98,normais,clara,S
135.19,2.03,afiados,escura,N
87.06,1.84,normais,escura,S
132.45,1.86,afiados,vermelha,N
151.13,1.63,afiados,vermelha,N
109.67,1.95,normais,clara,S
71.24,2.28,normais,clara,S
130.53,1.66,normais,vermelha,N
167.29,1.74,afiados,clara,N
72.37,2.18,normais,vermelha,S
116.23,1.56,normais,vermelha,N
107.40,1.66,normais,clara,S
167.02,1.98,normais,vermelha,N
51.05,1.52,afiados,clara,N
109.90,2.26,afiados,vermelha,N
112.83,1.96,normais,vermelha,N
60.60,1.88,afiados,clara,S
141.05,2.39,afiados,escura,N
82.53,2.29,normais,clara,S
151.13,1.75,afiados,clara,N
120.47,1.94,normais,vermelha,N
58.57,1.74,normais,clara,S
172.79,1.61,normais,vermelha,N
113.84,1.96,normais,vermelha,N
166.02,1.78,normais,escura,S
91.58,1.84,afiados,escura,S
99.35,1.59,normais,clara,S
